No,Group,Family,Name_S,Name_C,Endemic,Alien,西元年,Month,Date,Time,Park,Region,X坐標,Y坐標,數量,Investgat
515,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,9,18,,,新店溪,300114,2767292,1,
516,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,9,18,,,新店溪,300074,2767294,1,
517,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,9,18,,,新店溪,300491,2767620,2,
518,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,9,18,,,新店溪,300311,2767412,1,
519,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,9,18,,,新店溪,300311,2767412,1,
520,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,9,18,,,新店溪,300311,2767412,1,
521,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,9,18,,,新店溪,300197,2767255,2,
522,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,9,18,,,新店溪,299891,2767733,1,
523,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,9,18,,,新店溪,299867,2767755,1,
524,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,9,18,,,新店溪,299813,2767821,1,
525,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,9,18,,,新店溪,299610,2768295,3,
526,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,9,18,,,新店溪,299423,2768727,1,
527,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299377,2768809,1,
528,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299252,2769635,4,
529,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299141,2769375,1,
530,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299603,2768262,2,
531,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299603,2768262,1,
532,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299614,2768228,2,
533,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299614,2768228,1,
534,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299614,2768228,2,
535,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299630,2767902,1,
536,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299544,2768222,3,
537,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299571,2767910,3,
538,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299571,2767910,4,
539,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299537,2768030,1,
540,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,21,,,新店溪,299604,2767844,1,
541,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,22,,,新店溪,299614,2767662,1,
542,兩棲類,蟾蜍科,Duttaphrynus melanosticus,黑眶蟾蜍,,,2014,8,22,,,新店溪,299614,2767662,1,
543,兩棲類,赤蛙科,Babina adenopleura,腹斑蛙,,,2014,8,21,,,新店溪,299820,2767256,2,
544,兩棲類,赤蛙科,Babina adenopleura,腹斑蛙,,,2014,8,21,,,新店溪,299884,2767286,3,
545,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,5,,,新店溪,299878,2767377,2,
546,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,9,17,,,新店溪,299864,2767422,1,
547,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,9,17,,,新店溪,299695,2767601,1,
548,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,9,18,,,新店溪,299695,2767601,2,
549,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,9,18,,,新店溪,299750,2767590,2,
550,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,9,18,,,新店溪,300619,2767610,3,
551,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,9,18,,,新店溪,300619,2767610,2,
552,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,19,,,新店溪,300711,2767690,2,
553,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,新店溪,302888,2767792,4,
554,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,新店溪,303553,2767035,1,
555,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,新店溪,303553,2767035,1,
556,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,新店溪,303553,2767035,2,
557,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,新店溪,303667,2766997,1,
558,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,淡水河,301324,2774287,1,
559,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,淡水河,300289,2770469,2,
560,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,淡水河,299495,2770009,2,
561,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,淡水河,299298,2769897,1,
562,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,淡水河,299336,2769858,2,
563,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,淡水河,299336,2769858,2,
564,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,淡水河,299336,2769858,2,
565,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,21,,,淡水河,299510,2769869,2,
566,兩棲類,叉舌蛙科,Fejervarya limnocharis,澤蛙,,,2014,8,22,,,新店溪,303378,2767061,2,
585,兩棲類,赤蛙科,Rana guentheri,貢德氏赤蛙,,,2014,12,20,,,新店溪,299539,2768170,1,林文琪
591,兩棲類,赤蛙科,Rana latouchii,拉都希氏赤蛙,,,2014,12,20,,,新店溪,303403,2767069,5,林文琪
600,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,1,21,,,新店溪,301003.886,2767204.523,15,曾威捷
823,兩棲類,樹蛙科,Kurixalus idiootocus,面天樹蛙,特有種,,2015,3,31,,,新店溪,302807.13,2767796.35,10,曾威捷
616,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,2,16,222,,新店溪,303003,2767669,1,林文琪
623,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,2,16,229,,新店溪,302646,2768057,1,林文琪
633,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,2,16,239,,新店溪,299640,2767586,38,林文琪
634,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,2,16,239,,新店溪,299640,2767586,1,林文琪
609,兩棲類,蟾蜍科,Bufo bankorensis,盤古蟾蜍,特有種,,2015,1,21,,,新店溪,304571.764,2766818.102,50,曾威捷
636,兩棲類,赤蛙科,Rana latouchii,拉都希氏赤蛙,,,2015,2,16,240,,新店溪,303732,2767011,1,林文琪
638,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,2,25,,,淡水河,299477.07,2769946.91,1,曾威捷
640,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,2,25,,,淡水河,299308.99,2769918.61,1,曾威捷
641,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,2,25,,,淡水河,299300.62,2769906.27,3,曾威捷
642,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,2,25,,,淡水河,299300.62,2769906.27,2,曾威捷
646,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,2,25,,,淡水河,299471.5,2769937.66,6,曾威捷
647,兩棲類,叉舌蛙科,Hoplobatrachus rugulosus,虎皮蛙,,,2015,2,25,,,淡水河,299480.02,2769906.92,1,曾威捷
648,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,2,25,,,淡水河,299466.01,2769906.87,4,曾威捷
649,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,2,25,,,淡水河,299437.95,2769912.92,3,曾威捷
650,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,2,25,,,淡水河,299300.76,2769869.35,9,曾威捷
651,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,2,25,,,淡水河,299300.76,2769869.35,2,曾威捷
652,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,2,25,,,淡水河,299303.4,2769912.44,1,曾威捷
653,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,2,25,,,淡水河,299303.4,2769912.44,3,曾威捷
654,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,2,25,,,淡水河,299505.42,2769860.86,59,曾威捷
655,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,2,25,,,淡水河,299505.42,2769860.86,1,曾威捷
657,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,19,241,,淡水河,299312,2769862,0,林文琪
660,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,19,243,,淡水河,299510,2769865,0,林文琪
661,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,19,244,,淡水河,299564,2769922,2,林文琪
681,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,20,292,,關渡水岸公園,296611,2779337,1,林文琪
683,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,303826.2,2766738.8,1,曾威捷
685,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,302987.49,2767557.05,150,曾威捷
686,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,300178.8,2767401.84,20,曾威捷
687,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300178.8,2767401.84,20,曾威捷
688,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299672.19,2768091.98,6,曾威捷
689,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300593,2767603.36,3,曾威捷
690,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300671.25,2767671.34,1,曾威捷
691,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300215.65,2767291.21,3,曾威捷
692,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,300215.65,2767291.21,20,曾威捷
693,兩棲類,赤蛙科,Rana latouchii,拉都希氏赤蛙,,,2015,3,30,,,新店溪,300215.65,2767291.21,7,曾威捷
694,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300159.56,2767297.16,4,曾威捷
695,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300131.52,2767297.06,90,曾威捷
696,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,300131.52,2767297.06,30,曾威捷
697,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300039.01,2767293.64,4,曾威捷
698,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299626.23,2767467.52,1,曾威捷
699,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299638.65,2767907.55,4,曾威捷
700,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299593.18,2768076.61,1,曾威捷
701,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299620.69,2768221.32,1,曾威捷
702,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299526.09,2768024.06,8,曾威捷
703,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299546.52,2767802.6,1,曾威捷
704,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299611.4,2767692.07,10,曾威捷
705,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299707.1,2767587.81,10,曾威捷
706,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299845.02,2767440.62,20,曾威捷
707,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299845.29,2767366.78,5,曾威捷
708,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299592.44,2768282.76,3,曾威捷
709,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,299592.44,2768282.76,2,曾威捷
710,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299539.38,2768224.11,5,曾威捷
711,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,299539.38,2768224.11,3,曾威捷
712,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,299539.38,2768224.11,2,曾威捷
713,兩棲類,赤蛙科,Rana latouchii,拉都希氏赤蛙,,,2015,3,30,,,新店溪,299539.38,2768224.11,1,曾威捷
714,兩棲類,赤蛙科,Rana guentheri,貢德氏赤蛙,,,2015,3,30,,,新店溪,299522.61,2768211.74,3,曾威捷
715,兩棲類,赤蛙科,Rana latouchii,拉都希氏赤蛙,,,2015,3,30,,,新店溪,299522.61,2768211.74,3,曾威捷
716,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,299531.32,2768128.69,1,曾威捷
717,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299523.26,2768030.21,3,曾威捷
718,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,299523.26,2768030.21,1,曾威捷
719,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299608.68,2767670.53,25,曾威捷
720,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,299608.68,2767670.53,2,曾威捷
721,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299625.61,2767639.82,10,曾威捷
722,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,299625.61,2767639.82,2,曾威捷
723,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,299714.88,2767763.22,1,曾威捷
724,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,299657.49,2768126.07,3,曾威捷
725,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299657.49,2768126.07,1,曾威捷
726,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299632.05,2768181.37,3,曾威捷
727,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299598.81,2768070.48,2,曾威捷
728,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,299621.54,2767987.49,1,曾威捷
729,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299635.86,2767904.46,3,曾威捷
730,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299596.8,2767852.02,3,曾威捷
731,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,299596.8,2767852.02,2,曾威捷
732,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299571.55,2767858.08,3,曾威捷
733,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299562.91,2767919.58,4,曾威捷
734,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,299562.91,2767919.58,1,曾威捷
735,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299537.37,2768005.64,4,曾威捷
736,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,299912.26,2767453.17,3,曾威捷
737,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299900.99,2767468.52,4,曾威捷
738,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,299900.99,2767468.52,2,曾威捷
739,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299687.39,2767612.35,8,曾威捷
740,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,299687.39,2767612.35,1,曾威捷
741,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299724.03,2767560.18,12,曾威捷
742,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,299724.03,2767560.18,50,曾威捷
743,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299766.26,2767511.1,3,曾威捷
744,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299867.51,2767422.24,6,曾威捷
745,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299896.04,2767286.97,5,曾威捷
746,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299848.6,2767228.33,1,曾威捷
747,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299834.54,2767237.51,2,曾威捷
748,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,296171.16,2770243.02,1,曾威捷
749,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,299803.56,2767277.4,2,曾威捷
750,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299803.56,2767277.4,1,曾威捷
751,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299769.7,2767335.74,1,曾威捷
752,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299800.46,2767357.39,2,曾威捷
753,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299831.3,2767357.5,4,曾威捷
754,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299848.1,2767363.71,3,曾威捷
755,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,299848.1,2767363.71,1,曾威捷
756,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,299637.21,2767532.17,9,曾威捷
757,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,299685,2767498.5,3,曾威捷
758,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,299685,2767498.5,1,曾威捷
759,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,299685,2767498.5,2,曾威捷
760,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300176.58,2767241.84,5,曾威捷
761,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,300176.58,2767241.84,20,曾威捷
762,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,300176.58,2767241.84,4,曾威捷
763,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,300274.47,2767306.81,1,曾威捷
765,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,300534.36,2767538.53,3,曾威捷
766,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,300732.75,2767717.73,3,曾威捷
767,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300732.75,2767717.73,3,曾威捷
768,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,300704.67,2767729.93,1,曾威捷
769,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300676.71,2767711.36,2,曾威捷
770,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,300184.45,2767389.56,1,曾威捷
771,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,300075.45,2767296.85,2,曾威捷
772,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300075.45,2767296.85,5,曾威捷
773,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,300075.45,2767296.85,300,曾威捷
774,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300117.51,2767293.93,7,曾威捷
775,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,300117.51,2767293.93,1,曾威捷
776,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300168,2767287.96,4,曾威捷
777,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,300168,2767287.96,1,曾威捷
778,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,300168,2767287.96,1,曾威捷
779,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300198.83,2767291.15,4,曾威捷
780,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,300198.83,2767291.15,1,曾威捷
781,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,300198.83,2767291.15,2,曾威捷
782,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,300229.67,2767291.26,3,曾威捷
783,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,300229.67,2767291.26,3,曾威捷
784,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,300268.66,2767362.17,1,曾威捷
785,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,30,,,新店溪,301246.18,2768368.85,4,曾威捷
786,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,30,,,新店溪,301246.18,2768368.85,3,曾威捷
787,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,301246.18,2768368.85,6,曾威捷
788,兩棲類,赤蛙科,Rana latouchii,拉都希氏赤蛙,,,2015,3,30,,,新店溪,301246.18,2768368.85,2,曾威捷
789,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,301809.54,2768404.82,5,曾威捷
791,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,30,,,新店溪,301980.85,2768328.55,1,曾威捷
635,兩棲類,蟾蜍科,Bufo bankorensis,盤古蟾蜍,特有種,,2015,2,16,240,,新店溪,303732,2767011,1,林文琪
793,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,31,,,新店溪,301927.06,2768466.81,1,曾威捷
794,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,31,,,新店溪,299107.8,2769739.43,1,曾威捷
795,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,31,,,新店溪,299099.51,2769708.63,1,曾威捷
797,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,31,,,新店溪,299099.54,2769699.4,8,曾威捷
798,兩棲類,叉舌蛙科,Rana limnocharis  limnocharis,澤蛙,,,2015,3,31,,,新店溪,299088.68,2769600.9,1,曾威捷
799,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,31,,,新店溪,299089.09,2769487.06,1,曾威捷
800,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,31,,,新店溪,299178.37,2769604.3,5,曾威捷
801,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,31,,,新店溪,299194.96,2769668.98,1,曾威捷
802,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,31,,,新店溪,299357.45,2769694.18,3,曾威捷
803,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,31,,,新店溪,299292.77,2769752.4,1,曾威捷
804,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,31,,,新店溪,299530.49,2768356.38,10,曾威捷
837,兩棲類,蟾蜍科,Bufo bankorensis,盤古蟾蜍,特有種,,2015,3,31,,,新店溪,303800.7,2766806.4,1,曾威捷
816,兩棲類,赤蛙科,Rana guentheri,貢德氏赤蛙,,,2015,3,31,,,新店溪,302832.69,2767713.37,2,曾威捷
817,兩棲類,蟾蜍科,Bufo melanosticus,黑眶蟾蜍,,,2015,3,31,,,新店溪,302832.69,2767713.37,1,曾威捷
818,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,31,,,新店溪,302818.6,2767731.78,3,曾威捷
889,兩棲類,蟾蜍科,Bufo melanosticus,盤古蟾蜍,特有種,,2015,4,23,329,,新店溪,302026,2768466,1,林文琪
820,兩棲類,狹口蛙科,Microhyla fissipes,小雨蛙,,,2015,3,31,,,新店溪,302798.84,2767765.55,5,曾威捷
