樹籍編碼,樹種,學名,科別,河濱公園,管理單位,樹高_m,胸高直徑_cm,樹冠投影面,推估樹齡_y,資料日期,備註,經度_TWD97,緯度_TWD97,經度_WGS84,緯度_WGS84
JM0DN10001,茄苳,Bischofia javanica,大戟科,道南,高灘地南區管理站,7.45495,30.617173,12.883801,38.455169,1051125,多主幹2枝,305908.1213,2763654.655,121.553778,24.979803
JM0DN10002,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.7296,6.050955,2.99303,7.6,1051125,,305910.8439,2763645.581,121.553805,24.979721
JM0DN10003,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,5.20544,9.176452,1.655065,11.525624,1051125,多主幹2枝,305914.1551,2763633.791,121.553837,24.979615
JM0DN10004,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.74021,0,1.806718,0,1051125,DBH<6,305914.8507,2763631.288,121.553844,24.979592
JM0DN10005,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.57414,5.732484,0.912292,7.2,1051125,,305915.0599,2763628.553,121.553846,24.979567
JM0DN10006,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,6.23606,15.097187,1.362435,18.962067,1051125,測量1m多主幹2枝,305916.4065,2763625.519,121.553859,24.97954
JM0DN10007,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.93001,9.873896,1.663096,12.401613,1051125,多主幹2枝,305917.6048,2763622.222,121.553871,24.97951
JM0DN10008,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.69706,7.484076,1.413328,9.4,1051125,,305918.6694,2763618.341,121.553881,24.979475
JM0DN10009,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.01864,0,2.013399,0,1051125,DBH<6,305919.8822,2763614.077,121.553893,24.979436
JM0DN10010,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.79231,0,1.399608,0,1051125,DBH<6,305920.6815,2763611.206,121.553901,24.979411
JM0DN10011,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,5.26154,9.235669,1.965794,11.6,1051125,測量0.7m,305920.956,2763608.795,121.553904,24.979389
JM0DN10012,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,5.29458,6.210191,2.3167,7.8,1051125,,305923.3526,2763603.401,121.553927,24.97934
JM0DN10013,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.86683,0,2.047826,0,1051125,DBH<6,305924.4546,2763599.541,121.553938,24.979305
JM0DN10014,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,5.7417,14.968153,6.527172,18.8,1051125,測量1m,305925.396,2763595.617,121.553947,24.97927
JM0DN10015,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,5.86667,10.922453,3.457138,13.718601,1051125,多主幹2枝,305926.5485,2763593.003,121.553958,24.979246
JM0DN10016,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,5.78034,9.235669,2.312682,11.6,1051125,,305927.6734,2763588.781,121.553969,24.979208
JM0DN10017,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.80734,6.687898,2.477861,8.4,1051125,,305928.7952,2763584.686,121.55398,24.979171
JM0DN10018,洋紫荊,Bauhinia purpurea,豆科,道南,高灘地南區管理站,7.61805,24.840764,33.753092,31.2,1051125,,305929.9846,2763579.219,121.553992,24.979121
JM0DN10019,洋紫荊,Bauhinia purpurea,豆科,道南,高灘地南區管理站,8.60735,16.552086,22.490616,20.78942,1051125,多主幹2枝,305930.9382,2763576.932,121.554001,24.979101
JM0DN10020,相思樹,Acacia confusa,豆科,道南,高灘地南區管理站,11.8004,15.286624,20.771134,19.2,1051125,,305931.4114,2763573.999,121.554006,24.979074
JM0DN10021,山黃麻,Trema orientalis,榆科,道南,高灘地南區管理站,10.6746,34.235669,46.518685,43,1051125,,305932.2763,2763571.57,121.554014,24.979052
JM0DN10022,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.31383,0,1.358778,0,1051125,DBH<6,305934.1148,2763566.168,121.554032,24.979003
JM0DN10023,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.78649,0,4.112116,0,1051125,DBH<6,305935.5977,2763562.029,121.554047,24.978966
JM0DN10024,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.22983,5.732484,4.498844,7.2,1051125,,305936.0639,2763559.349,121.554051,24.978942
JM0DN10025,水柳,Salix warburgii,楊柳科,道南,高灘地南區管理站,5.15499,15.923567,7.699876,20,1051125,測量1m,305937.615,2763554.764,121.554066,24.9789
JM0DN10026,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.66707,0,3.278337,0,1051125,DBH<6,305938.2428,2763551.966,121.554072,24.978875
JM0DN10027,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.76272,0,3.575262,0,1051125,DBH<6,305940.0215,2763548.328,121.55409,24.978842
JM0DN10028,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.13035,0,2.11028,0,1051125,DBH<6,305941.0064,2763544.493,121.5541,24.978807
JM0DN10029,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.80514,0,2.339355,0,1051125,DBH<6,305942.1238,2763540.645,121.55411,24.978773
JM0DN10030,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.38222,0,2.625316,0,1051125,DBH<6,305943.1062,2763537.871,121.55412,24.978748
JM0DN10031,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,2.91622,0,2.62815,0,1051125,DBH<6,305943.4817,2763534.921,121.554124,24.978721
JM0DN10032,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.88326,8.43949,3.26317,10.6,1051125,測量0.7m,305945.0808,2763531.03,121.554139,24.978686
JM0DN10033,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.67113,0,2.44661,0,1051125,DBH<6,305946.3341,2763526.612,121.554152,24.978646
JM0DN10034,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.29757,9.235669,3.696594,11.6,1051125,測量1m,305947.0519,2763523.391,121.554159,24.978617
JM0DN10035,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.52019,0,3.079448,0,1051125,DBH<6,305947.9194,2763520.63,121.554167,24.978592
JM0DN10036,龍眼,Dimocarpus longan,無患子科,道南,高灘地南區管理站,4.43978,0,2.093981,0,1051125,DBH<6,305948.6918,2763517.269,121.554175,24.978561
JM0DN10037,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,2.62663,0,1.523997,0,1051125,DBH<6,305949.2107,2763515.072,121.55418,24.978542
JM0DN10038,樟樹,Cinnamomum camphora,樟科,道南,高灘地南區管理站,5.27287,8.43949,2.743552,10.6,1051125,,305950.9202,2763510.193,121.554196,24.978497
JM0DN10039,山刈葉,Melicope semecarpifolia,芸香科,道南,高灘地南區管理站,2.00523,0,6.213383,0,1051125,DBH<6,305954.0094,2763500.272,121.554227,24.978408
JM0DN10040,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.15414,0,5.131641,0,1051125,DBH<6,305954.6893,2763495.616,121.554233,24.978366
JM0DN10041,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.34866,0,2.811144,0,1051125,DBH<6,305956.6167,2763490.952,121.554252,24.978324
JM0DN10042,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,2.60487,0,5.098389,0,1051125,DBH<6,305957.2494,2763486.374,121.554258,24.978282
JM0DN10043,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.78445,0,9.364378,0,1051125,DBH<6,305958.3667,2763484.402,121.554269,24.978264
JM0DN10044,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,4.34915,0,2.203235,0,1051125,DBH<6,305959.5277,2763481.954,121.55428,24.978242
JM0DN10045,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.89886,0,13.740974,0,1051125,DBH<6,305960.7203,2763477.91,121.554292,24.978206
JM0DN10046,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,3.1341,0,11.045686,0,1051125,DBH<6,305961.4861,2763474.695,121.5543,24.978177
JM0DN10047,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,6.16589,13.535032,6.153659,17,1051125,,305962.5187,2763471.328,121.55431,24.978146
JM0DN10048,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,4.82053,14.415006,7.620184,18.105248,1051125,多主幹4枝,305963.9602,2763467.232,121.554324,24.978109
JM0DN10049,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,5.61418,16.26232,7.984782,20.425474,1051125,多主幹3枝,305964.6087,2763464.612,121.55433,24.978085
JM0DN10050,苦楝,Melia azedarach,楝科,道南,高灘地南區管理站,7.39188,24.526946,17.84104,30.805844,1051125,多主幹2枝,305966.6554,2763455.877,121.55435,24.978007
JM0DN10051,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,5.91203,10.66879,7.760539,13.4,1051125,,305967.781,2763453.148,121.554361,24.977982
JM0DN10052,檬果,Mangifera indica,漆樹科,道南,高灘地南區管理站,4.72716,10.031847,7.297223,12.6,1051125,,305968.4037,2763450.155,121.554367,24.977955
JM0DN10053,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,6.02237,13.959257,10.154043,17.532826,1051125,多主幹2枝,305968.4766,2763447.647,121.554368,24.977932
JM0DN10054,麵包樹,Artocarpus incisus,桑科,道南,高灘地南區管理站,4.50635,10.509554,9.026538,13.2,1051125,,305970.4023,2763444.172,121.554387,24.977901
JM0DN10055,麵包樹,Artocarpus incisus,桑科,道南,高灘地南區管理站,5.0615,15.544044,17.119381,19.523319,1051125,多主幹2枝,305971.8677,2763439.377,121.554401,24.977857
JM0DN10056,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,8.17457,14.33121,15.78363,18,1051125,,305972.8553,2763435.621,121.554411,24.977823
JM0DN10057,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,7.54901,18.066057,19.896991,22.690967,1051125,多主幹2枝,305973.6986,2763432.66,121.554419,24.977797
JM0DN10058,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,6.86308,14.33121,15.78363,18,1051125,,305974.4399,2763430.121,121.554426,24.977774
JM0DN10059,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,3.58501,11.487063,12.651238,14.427751,1051125,多主幹2枝,305975.2682,2763427.063,121.554434,24.977746
JM0DN10060,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,5.75257,18.627851,20.515721,23.396581,1051125,多主幹3枝,305976.2026,2763424.5,121.554443,24.977723
JM0DN10061,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,5.63395,21.903444,10.451529,27.510725,1051125,多主幹4枝,305977.4825,2763419.79,121.554456,24.97768
JM0DN10062,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,5.04309,13.803078,15.036933,17.336666,1051125,多主幹3枝,305979.8738,2763413.523,121.554479,24.977624
JM0DN10063,茄苳,Bischofia javanica,大戟科,道南,高灘地南區管理站,3.21406,12.708962,5.360558,15.962456,1051125,測量0.7m多主幹2枝,305981.1163,2763409.801,121.554491,24.97759
JM0DN10064,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,2.54444,0,3.557196,0,1051125,DBH<6,305981.3345,2763406.916,121.554493,24.977564
JM0DN10065,錫蘭橄蘭,Elaeocarpus serratus,杜英科,道南,高灘地南區管理站,2.1228,0,1.872738,0,1051125,DBH<6,305986.0297,2763399.038,121.55454,24.977493
JM0DN10066,檬果,Mangifera indica,漆樹科,道南,高灘地南區管理站,4.57309,10.866595,7.573798,13.648443,1051125,測量0.9m多主幹2枝,305989.1802,2763393.636,121.554571,24.977444
JM0DN10067,馬拉巴栗,Pachira macrocarpa,木棉科,道南,高灘地南區管理站,1.89281,0,0.69698,0,1051125,DBH<6,305991.0123,2763391.495,121.554589,24.977424
JM0DN10068,茄苳,Bischofia javanica,大戟科,道南,高灘地南區管理站,2.37362,0,6.99118,0,1051125,DBH<6,306007.8629,2763370.026,121.554755,24.97723
JM0DN10069,茄苳,Bischofia javanica,大戟科,道南,高灘地南區管理站,3.23489,6.847134,19.643976,8.6,1051125,,306010.1803,2763366.51,121.554777,24.977198
JM0DN10070,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,2.61422,0,1.791839,0,1051125,DBH<6,306027.0008,2763352.107,121.554943,24.977067
JM0DN10071,苦楝,Melia azedarach,楝科,道南,高灘地南區管理站,8.39377,19.426752,12.085067,24.4,1051125,測量1m,305915.2485,2763591.647,121.553846,24.979234
JM0DN10072,水黃皮,Pongamia pinnata,豆科,道南,高灘地南區管理站,7.3664,28.66242,31.902626,36,1051125,,306307.9708,2763611.746,121.557737,24.979401
JM0DN10073,水黃皮,Pongamia pinnata,豆科,道南,高灘地南區管理站,6.70265,31.210191,25.668219,39.2,1051125,,306340.6779,2763656.293,121.558063,24.979802
JM0DN10074,水黃皮,Pongamia pinnata,豆科,道南,高灘地南區管理站,5.89068,22.611465,22.489612,28.4,1051125,,306459.3704,2763703.621,121.55924,24.980225
JM0DN10075,水黃皮,Pongamia pinnata,豆科,道南,高灘地南區管理站,6.21757,27.388535,33.235489,34.4,1051125,,306508.4055,2763690.861,121.559725,24.980108
JM0DN10076,水黃皮,Pongamia pinnata,豆科,道南,高灘地南區管理站,7.25751,32.802548,52.836512,41.2,1051125,,306610.6437,2763662.791,121.560737,24.979851
JM0DN10077,水黃皮,Pongamia pinnata,豆科,道南,高灘地南區管理站,6.63857,27.547771,32.707238,34.6,1051125,主幹傾斜,306765.0741,2763694.397,121.562268,24.98013
JM0DN10078,雀榕,Ficus subpisocarpa,桑科,道南,高灘地南區管理站,3.59758,11.146497,16.408916,14,1051125,,307031.7087,2763835.867,121.564915,24.981397
JM0DN10079,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,4.52868,28.343949,21.29416,35.6,1051125,僅量主幹,307079.7621,2763843.671,121.565391,24.981466
JM0DN10080,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,4.45165,20.63623,61.392025,25.919105,1051125,測量0.5m多主幹4枝,307110.5039,2763841.02,121.565695,24.981441
JM0DN10081,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,7.16098,43.887269,8.445381,55.122409,1051125,多主幹13枝,307112.9252,2763847.477,121.56572,24.981499
JM0DN10082,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,3.64338,38.853503,15.41582,48.8,1051125,測量0.2m,307120.5426,2763845.912,121.565795,24.981485
JM0DN10083,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,3.62527,27.547771,13.255872,34.6,1051125,測量0.2m,307119.2475,2763841.779,121.565782,24.981447
JM0DN10084,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,3.62839,0,5.238246,0,1051125,DBH<6,307126.3074,2763840.597,121.565852,24.981437
JM0DN10085,水黃皮,Pongamia pinnata,豆科,道南,高灘地南區管理站,4.76347,17.515924,23.240936,22,1051125,測量1m,307204.7872,2763803.163,121.566628,24.981096
JM0DN10086,茄苳,Bischofia javanica,大戟科,道南,高灘地南區管理站,4.30354,25.921689,28.556957,32.557641,1051125,多主幹2枝,307212.9295,2763801.476,121.566708,24.98108
JM0DN10087,相思樹,Acacia confusa,豆科,道南,高灘地南區管理站,3.43119,9.55414,16.458493,12,1051125,,307318.9695,2763842.932,121.56776,24.98145
JM0DN10088,茄苳,Bischofia javanica,大戟科,道南,高灘地南區管理站,4.43492,30.414013,11.197395,38.2,1051125,,307438.9118,2763862.348,121.568949,24.981621
JM0DN10089,茄苳,Bischofia javanica,大戟科,道南,高灘地南區管理站,5.17457,27.499866,12.11182,34.539832,1051125,多主幹2枝,307437.2726,2763855.416,121.568932,24.981559
JM0DN10090,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,2.05471,12.420382,9.274166,15.6,1051125,,307502.6255,2763881.443,121.569581,24.981791
JM0DN10091,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,4.02959,0,1.506582,0,1051125,無法測量/形似灌木,307637.4368,2763979.118,121.57092,24.982668
JM0DN10092,相思樹,Acacia confusa,豆科,道南,高灘地南區管理站,3.64718,21.974522,33.106413,27.6,1051125,測量0.2m,307637.8149,2763981.614,121.570924,24.98269
JM0DN10093,黑板樹,Alstonia scholaris,夾竹桃科,道南,高灘地南區管理站,8.55773,39.120156,29.390527,49.134916,1051125,多主幹4枝,307622.1439,2764063.697,121.570772,24.983432
JM0DN10094,羅漢松,Podocarpus macrophyllus,羅漢松科,道南,高灘地南區管理站,3.46352,13.535032,10.168715,17,1051125,測量1m,307623.7719,2764066.008,121.570789,24.983453
JM0DN10095,洋紫荊,Bauhinia purpurea,豆科,道南,高灘地南區管理站,5.96203,26.83251,20.158958,33.701632,1051125,多主幹9枝,307625.6783,2764066.931,121.570807,24.983461
JM0DN10096,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,3.70825,28.343949,21.294485,35.6,1051125,,307624.4501,2764068.459,121.570795,24.983475
JM0DN10097,印度橡膠樹,Ficus elastica,桑科,道南,高灘地南區管理站,6.2246,17.465184,13.121393,21.936271,1051125,多主幹5枝,307625.3896,2764068.811,121.570805,24.983478
JM0DN10098,印度橡膠樹,Ficus elastica,桑科,道南,高灘地南區管理站,8.53054,63.110783,47.414411,79.267143,1051125,多主幹10枝,307629.8196,2764073.24,121.570849,24.983518
JM0DN10099,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,7.73842,65.682349,87.057229,82.49703,1051125,多主幹9枝,307635.643,2764083.668,121.570907,24.983612
JM0DN10100,苦楝,Melia azedarach,楝科,道南,高灘地南區管理站,4.70955,10.66879,14.140713,13.4,1051125,,307637.6526,2764089.316,121.570927,24.983663
JM0DN10101,春不老,Ardisia squamulosa,紫金牛科,道南,高灘地南區管理站,2.17692,0,1.325428,0,1051125,DBH<6,307639.7508,2764091.153,121.570948,24.983679
JM0DN10102,櫻花,Cerasus sp.,薔薇科,道南,高灘地南區管理站,1.55966,0,3.667885,0,1051125,DBH<6,307641.4674,2764093.978,121.570965,24.983705
JM0DN10103,垂榕,Ficus benjamina,桑科,道南,高灘地南區管理站,6.09075,15.923567,4.357561,20,1051125,,307643.1035,2764096.22,121.570981,24.983725
JM0DN10104,金桔,Citrofortunella microcarpa,芸香科,道南,高灘地南區管理站,3.06048,0,2.943233,0,1051125,DBH<6,307645.3845,2764099.121,121.571004,24.983751
JM0DN10105,紅楠,Machilus thunbergii,樟科,道南,高灘地南區管理站,4.86302,6.847134,2.745004,8.6,1051125,,307646.7278,2764100.58,121.571017,24.983764
JM0DN10106,垂榕,Ficus benjamina,桑科,道南,高灘地南區管理站,3.89065,8.280255,13.062032,10.4,1051125,,307647.4921,2764103.237,121.571025,24.983788
JM0DN10107,苦楝,Melia azedarach,楝科,道南,高灘地南區管理站,12.0086,44.904459,70.836405,56.4,1051125,,307650.8704,2764107.95,121.571059,24.98383
JM0DN10108,苦楝,Melia azedarach,楝科,道南,高灘地南區管理站,8.07769,28.66242,45.214727,36,1051125,,307653.0452,2764113.176,121.57108,24.983877
JM0DN10109,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,8.07796,35.350318,55.76483,44.4,1051125,測量1m,307658.2001,2764110.772,121.571131,24.983856
JM0DN10110,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,8.71417,28.980892,45.717113,36.4,1051125,,307654.2901,2764099.971,121.571092,24.983758
JM0DN10111,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,12.9632,61.146497,82.274461,76.8,1051125,,307678.5395,2764159.49,121.571335,24.984295
JM0DN10112,柚,Citrus maxima,芸香科,道南,高灘地南區管理站,7.12884,23.575485,51.108952,29.610809,1051125,多主幹4枝,307695.6165,2764277.297,121.571509,24.985357
JM0DN10113,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,9.68889,90.291679,195.742022,113.406349,1051125,多主幹13枝,307697.2087,2764281.914,121.571525,24.985399
JM0DN10114,桑樹,Morus australis,桑科,道南,高灘地南區管理站,7.26306,36.255413,79.327892,45.536798,1051125,多主幹3枝,307701.1193,2764305.558,121.571565,24.985612
JM0DN10115,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,9.42226,74.987659,164.075168,94.1845,1051125,多主幹3枝,307707.9141,2764314.952,121.571632,24.985697
JM0DN10116,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,2.45594,0,13.922393,0,1051125,DBH<6,307707.4959,2764338.508,121.571629,24.98591
JM0DN10117,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,6.59912,53.608527,65.40951,67.33231,1051125,多主幹5枝,307709.8641,2764347.643,121.571653,24.985992
JM0DN10118,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,8.02108,39.490446,73.925707,49.6,1051125,,307712.3217,2764360.99,121.571678,24.986112
JM0DN10119,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,9.19865,45.859873,82.10692,57.6,1051125,,307714.2041,2764382.352,121.571697,24.986305
JM0DN10120,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,8.02602,54.466979,123.428028,68.410526,1051125,多主幹2枝,307717.0916,2764399.621,121.571727,24.986461
JM0DN10121,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,10.631,47.452229,132.470642,59.6,1051125,,307721.7257,2764419.589,121.571774,24.986641
JM0DN10122,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,10.9679,58.917197,121.418297,74,1051125,,307683.2716,2764609.95,121.571401,24.988361
JM0DN10123,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,10.8734,83.152281,150.96781,104.439265,1051125,多主幹7枝,307667.1355,2764637.164,121.571242,24.988607
JM0DN10124,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,7.57408,50.955414,104.341936,64,1051125,測量0.7m,307657.8058,2764649.041,121.57115,24.988715
JM0DN10125,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,7.35028,31.79853,33.423163,39.938953,1051125,多主幹3枝,307642.4074,2764683.757,121.570999,24.989029
JM0DN10126,雀榕,Ficus subpisocarpa,桑科,道南,高灘地南區管理站,6.43765,21.113593,43.101854,26.518673,1051125,多主幹6枝,307637.4737,2764694.846,121.57095,24.989129
JM0DN10127,檸檬,Citrus limon,芸香科,道南,高灘地南區管理站,5.17905,11.787742,29.351624,14.805404,1051125,多主幹3枝,307638.867,2764703.965,121.570965,24.989212
JM0DN10128,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,2.27394,0,14.120625,0,1051125,DBH<6,307639.0512,2764708.575,121.570967,24.989253
JM0DN10129,樟樹,Cinnamomum camphora,樟科,道南,高灘地南區管理站,8.3623,27.928048,2.040035,35.077628,1051125,多主幹3枝,307639.7429,2764710.935,121.570974,24.989274
JM0DN10130,菩提樹,Ficus religiosa,桑科,道南,高灘地南區管理站,7.81751,23.870484,2.580148,29.981328,1051125,多主幹3枝,307639.6835,2764713.059,121.570973,24.989294
JM0DN10131,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,3.77043,0,3.952273,0,1051125,DBH<6,307639.7845,2764718.341,121.570974,24.989341
JM0DN10133,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,12.7924,56.687898,118.12595,71.2,1051125,測量0.8m,307642.7735,2764757.93,121.571006,24.989699
JM0DN10134,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,8.2099,83.757962,222.204343,105.2,1051125,測量0.5m,307656.6706,2764777.169,121.571144,24.989872
JM0DN10135,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,1.48701,0,2.468447,0,1051125,DBH<6,307663.184,2764720.427,121.571206,24.989359
JM0DN10136,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,1.7839,0,2.961286,0,1051125,DBH<6,307663.8361,2764719.8,121.571213,24.989354
JM0DN10137,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,2.07003,0,2.619893,0,1051125,DBH<6,307663.1036,2764716.661,121.571205,24.989325
JM0DN10138,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,2.44601,0,3.095744,0,1051125,DBH<6,307663.7003,2764715.701,121.571211,24.989317
JM0DN10139,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,2.60123,0,1.490008,0,1051125,DBH<6,307663.1545,2764712.311,121.571206,24.989286
JM0DN10140,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,2.09483,0,1.199938,0,1051125,DBH<6,307663.3393,2764711.874,121.571207,24.989282
JM0DN10141,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,1.84405,0,1.056289,0,1051125,DBH<6,307662.9059,2764711.177,121.571203,24.989276
JM0DN10142,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,2.78558,0,1.624879,0,1051125,DBH<6,307661.8304,2764708.301,121.571192,24.98925
JM0DN10143,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,1.61733,0,0.943417,0,1051125,DBH<6,307662.4271,2764707.573,121.571198,24.989243
JM0DN10144,菩提樹,Ficus religiosa,桑科,道南,高灘地南區管理站,4.54597,11.091767,1.420927,13.93126,1051125,,307661.0434,2764701.12,121.571184,24.989185
JM0DN10145,桂花,Osmanthus fragrans,木犀科,道南,高灘地南區管理站,1.77638,0,1.326259,0,1051125,DBH<6,307661.9883,2764699.675,121.571193,24.989172
JM0DN10146,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,1.77454,0,1.810823,0,1051125,DBH<6,307661.2378,2764698.554,121.571186,24.989162
JM0DN10147,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,1.97027,0,2.178337,0,1051125,DBH<6,307661.7969,2764691.921,121.571191,24.989102
JM0DN10148,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,1.93243,0,1.534034,0,1051125,DBH<6,307661.233,2764689.967,121.571186,24.989084
JM0DN10149,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,1.66456,0,1.321389,0,1051125,DBH<6,307661.9273,2764689.147,121.571192,24.989077
JM0DN10150,九芎,Lagerstroemia subcostata,千屈菜科,道南,高灘地南區管理站,1.7982,0,1.758319,0,1051125,DBH<6,307661.8835,2764687.149,121.571192,24.989059
JM0DN10151,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,5.60833,52.866242,21.554508,66.4,1051125,測量0.4m,307678.6498,2764925.18,121.571368,24.991207
JM0DN10152,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,9.08668,35.509554,39.599368,44.6,1051125,,307676.15,2764993.407,121.571346,24.991823
JM0DN10153,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,10.2831,28.414087,31.68668,35.688093,1051125,多主幹3枝,307674.5367,2764997.304,121.57133,24.991858
JM0DN10154,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,9.78881,48.407643,53.982995,60.8,1051125,測量1m,307674.9107,2764999.186,121.571334,24.991875
JM0DN10155,榕樹,Ficus microcarpa,桑科,道南,高灘地南區管理站,8.36913,51.273885,57.179356,64.4,1051125,,307675.8849,2765004.124,121.571344,24.99192
