No,Family,Name_S,Name_C,Endemic,西元年,Month,Date,Region,X坐標,Y坐標,數量
261,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,8,25,新店溪,301440,2768378,3
262,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,8,25,新店溪,300538,2767623,3
263,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,8,25,新店溪,300346,2767448,6
264,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,8,25,新店溪,300184,2767289,11
265,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,8,25,新店溪,299821,2767256,3
266,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,8,25,新店溪,299124,2769796,3
267,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,8,25,淡水河,301324,2773239,2
268,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,8,25,關渡水岸公園,296577,2779453,6
269,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,新店溪,302983,2767574,4
270,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,新店溪,301898,2768343,2
271,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,新店溪,301480,2768377,8
272,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,新店溪,300812,2767836,2
273,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,新店溪,299977,2767273,4
274,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,新店溪,299820,2767260,2
275,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,新店溪,299609,2767587,2
276,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,新店溪,299530,2768056,2
277,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,9,28,淡水河,299498,2770039,2
