No,Family,Name_S,Name_C,Endemic,西元年,Month,Date,Region,X坐標,Y坐標,數量
474,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,淡水河,301113,2775044,1
475,蛺蝶科,Neptis hylas lulculenta,琉球三線蝶,,2015,0,0,淡水河,301184,2774690,1
476,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,淡水河,301285,2774169,1
477,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,淡水河,301338,2773893,1
478,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,淡水河,301350,2773547,1
479,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,淡水河,301041,2771720,2
480,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,淡水河,300792,2771109,1
481,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2015,0,0,淡水河,300488,2770733,1
482,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,淡水河,300142,2770280,1
483,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,299120,2769771,2
484,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2015,0,0,新店溪,299120,2769771,1
485,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,299199,2769220,1
486,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,新店溪,299313,2768881,1
